8,壹点壹炸鸡汉堡,98741015,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/98741015/review,
13,壹点壹炸鸡汉堡,107756370,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/107756370/review,
22,壹点壹炸鸡汉堡,110836105,壹點壹汉堡炸鸡,该商户暂无星级,http://www.dianping.com/shop/110836105/review,
22,壹点壹炸鸡汉堡,93224948,壹点壹·炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/93224948/review,
22,壹点壹炸鸡汉堡,97692898,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/97692898/review,
26,壹点壹炸鸡汉堡,107755771,壹点壹汉堡炸鸡,准四星商户,http://www.dianping.com/shop/107755771#comment,
27,壹点壹炸鸡汉堡,110255778,壹点壹汉堡炸鸡,准四星商户,http://www.dianping.com/shop/110255778#comment,
27,壹点壹炸鸡汉堡,125074712,壹點壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/125074712/review,
28,壹点壹炸鸡汉堡,93271493,壹点壹汉堡炸鸡,该商户暂无星级,http://www.dianping.com/shop/93271493/review,
46,壹点壹炸鸡汉堡,104620779,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/104620779/review,
58,壹点壹炸鸡汉堡,127152649,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/127152649/review,
69,壹点壹炸鸡汉堡,107769639,壹点壹汉堡炸鸡,该商户暂无星级,http://www.dianping.com/shop/107769639/review,
100,壹点壹炸鸡汉堡,124160772,壹點壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/124160772/review,
121,壹点壹炸鸡汉堡,122878227,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/122878227/review,
146,壹点壹炸鸡汉堡,99226724,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/99226724/review,
150,壹点壹炸鸡汉堡,128111219,壹点壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/128111219/review,
155,壹点壹炸鸡汉堡,122221368,壹點壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/122221368#comment,
160,壹点壹炸鸡汉堡,110651539,壹点壹汉堡炸鸡,准四星商户,http://www.dianping.com/shop/110651539/review,
209,壹点壹炸鸡汉堡,108310779,壹點壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/108310779/review,
267,壹点壹炸鸡汉堡,107753359,壹點壹汉堡炸鸡,该商户暂无星级,http://www.dianping.com/shop/107753359/review,歇业/关闭
293,壹点壹炸鸡汉堡,97048925,壹點壹炸鸡汉堡,该商户暂无星级,http://www.dianping.com/shop/97048925#comment,
